titolo,y_true,y_pred
cap2_def1,"['Atto', 'Codice_unico_di_progetto', 'Intervento_di_investimento_pubblico', 'Progetto_di_investimento_pubblico']","['atto_amministrativo', 'atto_amministrativo_di_investimento_pubblico', 'pubblica_amministrazione', 'progetto_di_investimento_pubblico', 'codice_unico_progetto', 'programma_di_spesa', 'finanziamento_pubblico', 'delibera', 'provvedimento_dirigenziale', 'decreto', 'provvedimento_approvazione_graduatorie']"
cap2_def1,"['Atto', 'Codice_unico_di_progetto', 'Intervento_di_investimento_pubblico', 'Progetto_di_investimento_pubblico']","['atto_amministrativo', 'atto_amministrativo_di_investimento_pubblico', 'pubblica_amministrazione', 'codice_unico_di_progetto_cup', 'progetto_di_investimento_pubblico', 'programma_di_spesa', 'finanziamento_pubblico', 'data_di_efficacia', 'valore_complessivo_investimento', 'delibera', 'provvedimento_dirigenziale', 'decreto', 'provvedimento_di_approvazione_di_graduatorie', 'graduatoria']"
cap2_def2,[],"['beneficiario_del_finanziamento', 'soggetto_pubblico', 'soggetto_privato', 'cipess']"
cap2_def2,[],"['beneficiario_finanziamento', 'soggetto_pubblico_o_privato', 'cipess', 'procedura_telematica_richiesta_cup', 'modalita_e_procedure_attuative', 'sistema_cup']"
cap2_def2,[],"['beneficiario_del_finanziamento', 'soggetto_pubblico', 'soggetto_privato', 'cipess']"
cap2_def3,[],"['progetto_di_investimento_pubblico', 'corredo_informativo', 'atto_amministrativo', 'soggetto_responsabile', 'quadro_economico_spesa']"
cap2_def4,"['Codice_unico_di_progetto', 'Intervento_di_investimento_pubblico', 'Progetto_di_investimento_pubblico']","['cup', 'intervento_progetto_investimento_pubblico', 'amministrazione_titolare', 'soggetto_attuatore', 'sistema_informativo_cup', 'banca_dati', 'documento_amministrativo_contabile']"
cap2_def4,"['Codice_unico_di_progetto', 'Intervento_di_investimento_pubblico', 'Progetto_di_investimento_pubblico']","['cup', 'intervento_progetto_investimento_pubblico', 'amministrazione_titolare', 'soggetto_attuatore', 'sistema_informativo_cup', 'banca_dati', 'documento_amministrativo_contabile']"
cap2_def5,"['Stato_valido_di_Cup', 'Stato_corretto_di_cup', 'Atto_finanziamento_investimento_pubblico', 'Stato_coerente_programma_spesa_di_cup', 'Stato_provvisorio_di_cup', 'Stato_di_cup']","['cup', 'cup_valido', 'cup_corretto', 'cup_coerente_con_il_programma_di_spesa', 'cup_provvisorio']"
cap2_def6,"['Stato_attivo_di_cup', 'Stato_cancellato_di_cup', 'Stato_chiuso_di_cup', 'Stato_revocato_di_cup', 'Stato_di_cup']","['cup', 'cup_attivo', 'cup_chiuso', 'cup_cancellato', 'cup_revocato']"
cap2_def8,"['Cup_cumulativo', 'Cup_master', 'Intervento_di_investimento_pubblico', 'Intervento_di_investimento_pubblico_cumulativo', 'Progetto_di_investimento_pubblico', 'Cup_collegato_a_master', 'Natura_di_intervento', 'Norma_di_finanziamento']","['cup', 'cup_cumulativo', 'cup_master', 'progetto_di_investimento_pubblico']"
cap2_def9,"['Soggetto_attuatore_interventi_PNRR', 'Soggetto_titolare_progetto_investimento', 'Soggetto_concentratore', 'Soggetto_richiedente_cup', 'Unità_organizzativa']","['sistema_di_monitoraggio_degli_investimenti_pubblici', 'comitato_interministeriale_per_la_programmazione_economica', 'politiche_di_sviluppo', 'programmi_cofinanziati_con_fondi_strutturali_europei', 'fondi_strutturali_europei', 'attivita_di_monitoraggio', 'programmi_di_investimento', 'intervento', 'soggetto_attuatore', 'soggetto_pubblico', 'soggetto_privato', 'soggetto_titolare_di_progetto', 'stazione_appaltante', 'concessionario', 'comune', 'unita_produttiva', 'ente_pubblico', 'soggetto_concentratore']"
cap3_def1,"['Codice_unico_di_progetto', 'Stato_provvisorio_di_cup', 'Stato_completo_di_cup', 'Stato_valido_di_Cup', 'Stato_corretto_di_cup', 'Stato_coerente_programma_spesa_di_cup', 'Cup_cumulativo', 'Cup_master', 'Stato_attivo_di_cup', 'Stato_cancellato_di_cup', 'Stato_chiuso_di_cup', 'Stato_revocato_di_cup', 'Cup_collegato_a_master', 'Stato_di_atto_di_finanziamento', 'Stato_di_coerenza_di_atto_di_finanziamento', 'Stato_di_correttezza_di_atto_di_finanziamento', 'Stato_di_cup', 'Stato_di_emanazione_di_atto_di_finanziamento', 'Soggetto_titolare_progetto_investimento', 'Soggetto_concentratore', 'Soggetto_richiedente_cup', 'Soggetto_accreditato_sistema_cup', 'Storia_di_cup', 'Intervento_di_investimento_pubblico_cumulativo']","['codice_unico_progetto', 'progetto_investimento_pubblico', 'corredo_informativo', 'stato_cup', 'generato_attivo', 'chiuso', 'revocato', 'cancellato', 'tipologia_cup', 'normale', 'collegato', 'master', 'provvisorio', 'completo', 'valido', 'corretto', 'coerente_con_programma_spesa', 'cumulativo', 'struttura_supporto_cup', 'soggetto_responsabile', 'soggetto_concentratore', 'relazione_cup', 'scissione', 'fusione', 'sostituzione']"
cap3_def2,"['Progetto_di_investimento_pubblico', 'Intervento_di_investimento_pubblico', 'Tipologia_copertura_finanziaria', 'Soggetto_titolare_progetto_investimento', 'Soggetto_attuatore_interventi_PNRR', 'Tematica_PNRR', 'Strumento_di_programmazione', 'Strumento_di_programmazione_libero', 'Tipo_strumento_di_programmazione', 'Subinvestimento_PNRR', 'Target_PNRR_di_progetto', 'Target_PNRR', 'Norma_di_finanziamento']","['progetto_investimento_pubblico', 'decisore_pubblico', 'finanziamento_pubblico', 'obiettivo_sviluppo', 'classificazione_progetto', 'lavori_pubblici', 'concessione_incentivi', 'concessione_contributi', 'acquisto_beni', 'acquisto_servizi', 'aumento_capitale', 'localizzazione', 'stato', 'area_geografica', 'regione', 'provincia', 'comune', 'localizzazione_specifica', 'finanza_di_progetto', 'copertura_finanziaria', 'strumento_programmazione', 'normativa_riferimento', 'beneficiario', 'soggetto_titolare', 'soggetto_attuatore', 'unita_organizzativa', 'responsabile_procedimento', 'progettista_opera', 'direttore_lavori', 'collaudatore', 'organismo_controllo', 'ente_finanziatore', 'tematica_pnrr', 'sub_investimento', 'target']"
cap3_def3,"['Acquisto_di_beni', 'Acquisto_o_realizzazione_altro_servizio', 'Acquisto_o_realizzazione_corso_di_formazione', 'Acquisto_o_realizzazione_di_servizi', 'Acquisto_o_realizzazione_progetto_di_ricerca', 'Area_di_intervento', 'Atto_amministrativo_progetto_cumulativo', 'Categoria_di_intervento', 'Concessione_di_contributi_ad_altri_soggetti', 'Concessione_di_incentivi_ad_unità_produttive', 'Cup_cumulativo', 'Intervento_di_investimento_pubblico', 'Intervento_di_investimento_pubblico_cumulativo', 'Natura_di_intervento', 'Realizzazione_di_lavori_pubblici', 'Settore_di_intervento', 'Sottoscrizione_iniziale_o_aumento_di_capitale', 'Sottosettore_di_intervento', 'Tipo_di_finalità_partecipazione_conferimento', 'Tipologia_di_intervento']","['intervento', 'progetto', 'natura_intervento', 'acquisto_beni', 'acquisto_realizzazione_servizi', 'realizzazione_lavori_pubblici', 'concessione_contributi', 'concessione_incentivi', 'sottoscrizione_aumento_capitale', 'natura_dipe', 'tipologia', 'area_intervento', 'settore', 'sottosettore', 'categoria', 'indirizzo_area_riferimento', 'beneficiario', 'impresa', 'societa']"
