id,example,TP,FP,FN,precision,recall,f1,complete_TP,complete_FP,complete_FN
example_0,cap2_def1,3,8,1,0.2727272727272727,0.75,0.39999999999999997,"[{'true': 'Codice_unico_di_progetto', 'pred': 'codice_unico_progetto', 'similarity': 0.9725292921066284}, {'true': 'Intervento_di_investimento_pubblico', 'pred': 'atto_amministrativo_di_investimento_pubblico', 'similarity': 0.8157632350921631}, {'true': 'Progetto_di_investimento_pubblico', 'pred': 'progetto_di_investimento_pubblico', 'similarity': 1.000000238418579}]","['atto_amministrativo', 'pubblica_amministrazione', 'programma_di_spesa', 'finanziamento_pubblico', 'delibera', 'provvedimento_dirigenziale', 'decreto', 'provvedimento_approvazione_graduatorie']","[{'true': 'Atto', 'best_pred': 'atto_amministrativo', 'similarity': 0.5342848300933838}]"
example_1,cap2_def1,3,11,1,0.21428571428571427,0.75,0.3333333333333333,"[{'true': 'Codice_unico_di_progetto', 'pred': 'codice_unico_di_progetto_cup', 'similarity': 0.850632905960083}, {'true': 'Intervento_di_investimento_pubblico', 'pred': 'atto_amministrativo_di_investimento_pubblico', 'similarity': 0.8157632350921631}, {'true': 'Progetto_di_investimento_pubblico', 'pred': 'progetto_di_investimento_pubblico', 'similarity': 1.000000238418579}]","['atto_amministrativo', 'pubblica_amministrazione', 'programma_di_spesa', 'finanziamento_pubblico', 'data_di_efficacia', 'valore_complessivo_investimento', 'delibera', 'provvedimento_dirigenziale', 'decreto', 'provvedimento_di_approvazione_di_graduatorie', 'graduatoria']","[{'true': 'Atto', 'best_pred': 'atto_amministrativo', 'similarity': 0.5342848300933838}]"
example_6,cap2_def4,1,6,2,0.14285714285714285,0.3333333333333333,0.2,"[{'true': 'Progetto_di_investimento_pubblico', 'pred': 'intervento_progetto_investimento_pubblico', 'similarity': 0.9370760321617126}]","['cup', 'amministrazione_titolare', 'soggetto_attuatore', 'sistema_informativo_cup', 'banca_dati', 'documento_amministrativo_contabile']","[{'true': 'Codice_unico_di_progetto', 'best_pred': 'soggetto_attuatore', 'similarity': 0.4062502682209015}, {'true': 'Intervento_di_investimento_pubblico', 'best_pred': 'sistema_informativo_cup', 'similarity': 0.3019883334636688}]"
example_7,cap2_def4,1,6,2,0.14285714285714285,0.3333333333333333,0.2,"[{'true': 'Progetto_di_investimento_pubblico', 'pred': 'intervento_progetto_investimento_pubblico', 'similarity': 0.9370760321617126}]","['cup', 'amministrazione_titolare', 'soggetto_attuatore', 'sistema_informativo_cup', 'banca_dati', 'documento_amministrativo_contabile']","[{'true': 'Codice_unico_di_progetto', 'best_pred': 'soggetto_attuatore', 'similarity': 0.4062502682209015}, {'true': 'Intervento_di_investimento_pubblico', 'best_pred': 'sistema_informativo_cup', 'similarity': 0.3019883334636688}]"
example_8,cap2_def5,4,1,2,0.8,0.6666666666666666,0.7272727272727272,"[{'true': 'Stato_valido_di_Cup', 'pred': 'cup_valido', 'similarity': 0.8161741495132446}, {'true': 'Stato_corretto_di_cup', 'pred': 'cup_corretto', 'similarity': 0.8310678005218506}, {'true': 'Stato_coerente_programma_spesa_di_cup', 'pred': 'cup_coerente_con_il_programma_di_spesa', 'similarity': 0.8827532529830933}, {'true': 'Stato_provvisorio_di_cup', 'pred': 'cup_provvisorio', 'similarity': 0.837113082408905}]",['cup'],"[{'true': 'Stato_di_cup', 'best_pred': 'cup', 'similarity': 0.563694953918457}, {'true': 'Atto_finanziamento_investimento_pubblico', 'best_pred': None, 'similarity': None}]"
example_9,cap2_def6,4,1,1,0.8,0.8,0.8000000000000002,"[{'true': 'Stato_attivo_di_cup', 'pred': 'cup_attivo', 'similarity': 0.8286285400390625}, {'true': 'Stato_cancellato_di_cup', 'pred': 'cup_cancellato', 'similarity': 0.8572141528129578}, {'true': 'Stato_chiuso_di_cup', 'pred': 'cup_chiuso', 'similarity': 0.8510528802871704}, {'true': 'Stato_revocato_di_cup', 'pred': 'cup_revocato', 'similarity': 0.8022267818450928}]",['cup'],"[{'true': 'Stato_di_cup', 'best_pred': 'cup', 'similarity': 0.5636950135231018}]"
example_10,cap2_def8,3,1,5,0.75,0.375,0.5,"[{'true': 'Cup_cumulativo', 'pred': 'cup_cumulativo', 'similarity': 1.000000238418579}, {'true': 'Cup_master', 'pred': 'cup_master', 'similarity': 1.000000238418579}, {'true': 'Progetto_di_investimento_pubblico', 'pred': 'progetto_di_investimento_pubblico', 'similarity': 0.9999998807907104}]",['cup'],"[{'true': 'Cup_collegato_a_master', 'best_pred': 'cup', 'similarity': 0.571027934551239}, {'true': 'Intervento_di_investimento_pubblico', 'best_pred': None, 'similarity': None}, {'true': 'Intervento_di_investimento_pubblico_cumulativo', 'best_pred': None, 'similarity': None}, {'true': 'Natura_di_intervento', 'best_pred': None, 'similarity': None}, {'true': 'Norma_di_finanziamento', 'best_pred': None, 'similarity': None}]"
example_11,cap2_def9,4,14,1,0.2222222222222222,0.8,0.3478260869565218,"[{'true': 'Soggetto_attuatore_interventi_PNRR', 'pred': 'soggetto_attuatore', 'similarity': 0.7354001998901367}, {'true': 'Soggetto_titolare_progetto_investimento', 'pred': 'soggetto_titolare_di_progetto', 'similarity': 0.8208270072937012}, {'true': 'Soggetto_concentratore', 'pred': 'soggetto_concentratore', 'similarity': 1.0}, {'true': 'Soggetto_richiedente_cup', 'pred': 'soggetto_privato', 'similarity': 0.7166930437088013}]","['sistema_di_monitoraggio_degli_investimenti_pubblici', 'comitato_interministeriale_per_la_programmazione_economica', 'politiche_di_sviluppo', 'programmi_cofinanziati_con_fondi_strutturali_europei', 'fondi_strutturali_europei', 'attivita_di_monitoraggio', 'programmi_di_investimento', 'intervento', 'soggetto_pubblico', 'stazione_appaltante', 'concessionario', 'comune', 'unita_produttiva', 'ente_pubblico']","[{'true': 'Unità_organizzativa', 'best_pred': 'unita_produttiva', 'similarity': 0.6689916849136353}]"
example_12,cap3_def1,7,18,17,0.28,0.2916666666666667,0.2857142857142857,"[{'true': 'Codice_unico_di_progetto', 'pred': 'codice_unico_progetto', 'similarity': 0.9725292921066284}, {'true': 'Stato_coerente_programma_spesa_di_cup', 'pred': 'coerente_con_programma_spesa', 'similarity': 0.7636268138885498}, {'true': 'Cup_cumulativo', 'pred': 'cumulativo', 'similarity': 0.7600041627883911}, {'true': 'Stato_di_cup', 'pred': 'stato_cup', 'similarity': 0.934737503528595}, {'true': 'Soggetto_concentratore', 'pred': 'soggetto_concentratore', 'similarity': 1.0000001192092896}, {'true': 'Storia_di_cup', 'pred': 'struttura_supporto_cup', 'similarity': 0.7167954444885254}, {'true': 'Intervento_di_investimento_pubblico_cumulativo', 'pred': 'progetto_investimento_pubblico', 'similarity': 0.7050061821937561}]","['corredo_informativo', 'generato_attivo', 'chiuso', 'revocato', 'cancellato', 'tipologia_cup', 'normale', 'collegato', 'master', 'provvisorio', 'completo', 'valido', 'corretto', 'soggetto_responsabile', 'relazione_cup', 'scissione', 'fusione', 'sostituzione']","[{'true': 'Stato_provvisorio_di_cup', 'best_pred': 'provvisorio', 'similarity': 0.5287118554115295}, {'true': 'Stato_completo_di_cup', 'best_pred': 'completo', 'similarity': 0.5936840772628784}, {'true': 'Stato_valido_di_Cup', 'best_pred': 'valido', 'similarity': 0.6001595258712769}, {'true': 'Stato_corretto_di_cup', 'best_pred': 'relazione_cup', 'similarity': 0.6161022782325745}, {'true': 'Cup_master', 'best_pred': 'master', 'similarity': 0.6463330984115601}, {'true': 'Stato_attivo_di_cup', 'best_pred': 'generato_attivo', 'similarity': 0.43838781118392944}, {'true': 'Stato_cancellato_di_cup', 'best_pred': 'cancellato', 'similarity': 0.6780511140823364}, {'true': 'Stato_chiuso_di_cup', 'best_pred': 'chiuso', 'similarity': 0.667641818523407}, {'true': 'Stato_revocato_di_cup', 'best_pred': 'revocato', 'similarity': 0.5464872121810913}, {'true': 'Cup_collegato_a_master', 'best_pred': 'collegato', 'similarity': 0.5916785001754761}, {'true': 'Stato_di_atto_di_finanziamento', 'best_pred': 'normale', 'similarity': 0.2590494155883789}, {'true': 'Stato_di_coerenza_di_atto_di_finanziamento', 'best_pred': 'corredo_informativo', 'similarity': 0.347957968711853}, {'true': 'Stato_di_correttezza_di_atto_di_finanziamento', 'best_pred': 'corretto', 'similarity': 0.5609537363052368}, {'true': 'Stato_di_emanazione_di_atto_di_finanziamento', 'best_pred': 'sostituzione', 'similarity': 0.4434947073459625}, {'true': 'Soggetto_titolare_progetto_investimento', 'best_pred': 'soggetto_responsabile', 'similarity': 0.5815678238868713}, {'true': 'Soggetto_richiedente_cup', 'best_pred': 'tipologia_cup', 'similarity': 0.5816534757614136}, {'true': 'Soggetto_accreditato_sistema_cup', 'best_pred': 'fusione', 'similarity': 0.28447821736335754}]"
example_13,cap3_def2,5,30,8,0.14285714285714285,0.38461538461538464,0.20833333333333331,"[{'true': 'Progetto_di_investimento_pubblico', 'pred': 'progetto_investimento_pubblico', 'similarity': 0.9781505465507507}, {'true': 'Tipologia_copertura_finanziaria', 'pred': 'copertura_finanziaria', 'similarity': 0.83377605676651}, {'true': 'Soggetto_attuatore_interventi_PNRR', 'pred': 'soggetto_attuatore', 'similarity': 0.7354001998901367}, {'true': 'Tematica_PNRR', 'pred': 'tematica_pnrr', 'similarity': 1.0}, {'true': 'Strumento_di_programmazione', 'pred': 'strumento_programmazione', 'similarity': 0.9792667627334595}]","['decisore_pubblico', 'finanziamento_pubblico', 'obiettivo_sviluppo', 'classificazione_progetto', 'lavori_pubblici', 'concessione_incentivi', 'concessione_contributi', 'acquisto_beni', 'acquisto_servizi', 'aumento_capitale', 'localizzazione', 'stato', 'area_geografica', 'regione', 'provincia', 'comune', 'localizzazione_specifica', 'finanza_di_progetto', 'normativa_riferimento', 'beneficiario', 'soggetto_titolare', 'unita_organizzativa', 'responsabile_procedimento', 'progettista_opera', 'direttore_lavori', 'collaudatore', 'organismo_controllo', 'ente_finanziatore', 'sub_investimento', 'target']","[{'true': 'Intervento_di_investimento_pubblico', 'best_pred': 'finanziamento_pubblico', 'similarity': 0.639268159866333}, {'true': 'Soggetto_titolare_progetto_investimento', 'best_pred': 'soggetto_titolare', 'similarity': 0.6924238204956055}, {'true': 'Strumento_di_programmazione_libero', 'best_pred': 'localizzazione', 'similarity': 0.44412150979042053}, {'true': 'Tipo_strumento_di_programmazione', 'best_pred': 'finanza_di_progetto', 'similarity': 0.4760582447052002}, {'true': 'Subinvestimento_PNRR', 'best_pred': 'sub_investimento', 'similarity': 0.4557953178882599}, {'true': 'Target_PNRR_di_progetto', 'best_pred': 'classificazione_progetto', 'similarity': 0.4352778494358063}, {'true': 'Target_PNRR', 'best_pred': 'target', 'similarity': 0.5618273019790649}, {'true': 'Norma_di_finanziamento', 'best_pred': 'normativa_riferimento', 'similarity': 0.6983522176742554}]"
